Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,59.75228064
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,103.5711314
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,18.24365706
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,230.945
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,165.3191489
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,26.81357664
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,210.6
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.58089261
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,98.54611872
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,592.1388889
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.335312311
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,108.0570044
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,122.1247368
Bahamas,BHS,Population density (people per sq. km of land area),EN.POP.DNST,40.60649351
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1882.126115
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1286.171553
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,652.7744186
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.21121293
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,381.0635403
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,17.31350285
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,112.1241841
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1183.203704
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,20.25448348
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,11.01833472
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,64.81263672
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.493148413
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.50762538
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,206.0666667
Brunei,BRN,Population density (people per sq. km of land area),EN.POP.DNST,83.81878558
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,63.87265107
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,78.66456871
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,475.8655374
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,144.5756824
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,92.88953093
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,56.04088553
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.242576785
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,280.4625
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,8.576551414
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,13.21847284
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,..
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,25.95761178
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,149.7235526
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,45.90415683
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,433.189683
Congo (Kinshasa),COD,Population density (people per sq. km of land area),EN.POP.DNST,40.95770451
Congo (Brazzaville),COG,Population density (people per sq. km of land area),EN.POP.DNST,16.69743485
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,100.334998
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,84.31380503
Croatia,HRV,Population density (people per sq. km of land area),EN.POP.DNST,72.33166548
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,108.8699229
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,348.9797297
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,133.9325758
Czechia,CZE,Population density (people per sq. km of land area),EN.POP.DNST,138.5759288
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,145.7851
Djibouti,DJI,Population density (people per sq. km of land area),EN.POP.DNST,47.03002588
Dominica,DMA,Population density (people per sq. km of land area),EN.POP.DNST,95.99333333
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,227.6891741
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,70.81895233
Egypt,EGY,Population density (people per sq. km of land area),EN.POP.DNST,107.9563353
El Salvador,SLV,Population density (people per sq. km of land area),EN.POP.DNST,303.7032336
Equatorial Guinea,GNQ,Population density (people per sq. km of land area),EN.POP.DNST,56.9001426
Eritrea,ERI,Population density (people per sq. km of land area),EN.POP.DNST,29.37742603
Estonia,EST,Population density (people per sq. km of land area),EN.POP.DNST,31.09992982
Eswatini,SWZ,Population density (people per sq. km of land area),EN.POP.DNST,68.64273256
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,103.8400628
Faroe Islands,FRO,Population density (people per sq. km of land area),EN.POP.DNST,38.37115666
Fiji,FJI,Population density (people per sq. km of land area),EN.POP.DNST,50.37887247
Finland,FIN,Population density (people per sq. km of land area),EN.POP.DNST,18.19287688
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,123.4046994
French Polynesia,PYF,Population density (people per sq. km of land area),EN.POP.DNST,86.98357822
Gabon,GAB,Population density (people per sq. km of land area),EN.POP.DNST,8.897322156
Gambia,GMB,Population density (people per sq. km of land area),EN.POP.DNST,254.347332
Georgia,GEO,Population density (people per sq. km of land area),EN.POP.DNST,65.13027048
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,238.0173188
Ghana,GHA,Population density (people per sq. km of land area),EN.POP.DNST,141.4317967
Gibraltar,GIB,Population density (people per sq. km of land area),EN.POP.DNST,3270.9
Greece,GRC,Population density (people per sq. km of land area),EN.POP.DNST,82.99921645
Greenland,GRL,Population density (people per sq. km of land area),EN.POP.DNST,0.13732976
Grenada,GRD,Population density (people per sq. km of land area),EN.POP.DNST,363.7147059
Guam,GUM,Population density (people per sq. km of land area),EN.POP.DNST,313.3907407
Guatemala,GTM,Population density (people per sq. km of land area),EN.POP.DNST,157.3192703
Guinea,GIN,Population density (people per sq. km of land area),EN.POP.DNST,53.74065196
Guinea-Bissau,GNB,Population density (people per sq. km of land area),EN.POP.DNST,71.68662873
Guyana,GUY,Population density (people per sq. km of land area),EN.POP.DNST,4.04979426
Haiti,HTI,Population density (people per sq. km of land area),EN.POP.DNST,410.2612845
Honduras,HND,Population density (people per sq. km of land area),EN.POP.DNST,90.46173027
Hong Kong,HKG,Population density (people per sq. km of land area),EN.POP.DNST,7124.761905
Hungary,HUN,Population density (people per sq. km of land area),EN.POP.DNST,106.8392395
Iceland,ISL,Population density (people per sq. km of land area),EN.POP.DNST,3.634463949
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,469.6595667
Indonesia,IDN,Population density (people per sq. km of land area),EN.POP.DNST,144.7963882
Iran,IRN,Population density (people per sq. km of land area),EN.POP.DNST,53.79981079
Iraq,IRQ,Population density (people per sq. km of land area),EN.POP.DNST,98.02865514
Ireland,IRL,Population density (people per sq. km of land area),EN.POP.DNST,72.36728117
Isle of Man,IMN,Population density (people per sq. km of land area),EN.POP.DNST,147.4491228
Israel,ISR,Population density (people per sq. km of land area),EN.POP.DNST,425.836414
Italy,ITA,Population density (people per sq. km of land area),EN.POP.DNST,200.9991005
Jamaica,JAM,Population density (people per sq. km of land area),EN.POP.DNST,260.4280702
Japan,JPN,Population density (people per sq. km of land area),EN.POP.DNST,346.3950617
Jordan,JOR,Population density (people per sq. km of land area),EN.POP.DNST,123.0794986
Kazakhstan,KAZ,Population density (people per sq. km of land area),EN.POP.DNST,6.947314887
Kenya,KEN,Population density (people per sq. km of land area),EN.POP.DNST,91.34093545
Kiribati,KIR,Population density (people per sq. km of land area),EN.POP.DNST,156.1271605
"Korea, North",PRK,Population density (people per sq. km of land area),EN.POP.DNST,214.8282286
"Korea, South",KOR,Population density (people per sq. km of land area),EN.POP.DNST,531.1090061
Kosovo,XKX,Population density (people per sq. km of land area),EN.POP.DNST,..
Kuwait,KWT,Population density (people per sq. km of land area),EN.POP.DNST,244.6938272
Kyrgyzstan,KGZ,Population density (people per sq. km of land area),EN.POP.DNST,34.30604797
Laos,LAO,Population density (people per sq. km of land area),EN.POP.DNST,31.71316724
Latvia,LVA,Population density (people per sq. km of land area),EN.POP.DNST,30.53911297
Lebanon,LBN,Population density (people per sq. km of land area),EN.POP.DNST,553.5604106
Lesotho,LSO,Population density (people per sq. km of land area),EN.POP.DNST,74.24571805
Liberia,LBR,Population density (people per sq. km of land area),EN.POP.DNST,52.81960133
Libya,LBY,Population density (people per sq. km of land area),EN.POP.DNST,3.781637246
Liechtenstein,LIE,Population density (people per sq. km of land area),EN.POP.DNST,242.225
Lithuania,LTU,Population density (people per sq. km of land area),EN.POP.DNST,44.63246567
Luxembourg,LUX,Population density (people per sq. km of land area),EN.POP.DNST,244.8742649
Macao,MAC,Population density (people per sq. km of land area),EN.POP.DNST,20555.71429
Madagascar,MDG,Population density (people per sq. km of land area),EN.POP.DNST,48.51353902
Malawi,MWI,Population density (people per sq. km of land area),EN.POP.DNST,205.5267395
Malaysia,MYS,Population density (people per sq. km of land area),EN.POP.DNST,101.0500472
Maldives,MDV,Population density (people per sq. km of land area),EN.POP.DNST,1714.793333
Mali,MLI,Population density (people per sq. km of land area),EN.POP.DNST,17.39404519
Malta,MLT,Population density (people per sq. km of land area),EN.POP.DNST,1610.4125
Marshall Islands,MHL,Population density (people per sq. km of land area),EN.POP.DNST,241.1833333
Mauritania,MRT,Population density (people per sq. km of land area),EN.POP.DNST,4.364610459
Mauritius,MUS,Population density (people per sq. km of land area),EN.POP.DNST,623.5172414
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,64.81560843
Micronesia,FSM,Population density (people per sq. km of land area),EN.POP.DNST,160.1514286
Moldova,MDA,Population density (people per sq. km of land area),EN.POP.DNST,91.74732605
Monaco,MCO,Population density (people per sq. km of land area),EN.POP.DNST,18215.0962
Mongolia,MNG,Population density (people per sq. km of land area),EN.POP.DNST,2.115133618
Montenegro,MNE,Population density (people per sq. km of land area),EN.POP.DNST,46.19375465
Morocco,MAR,Population density (people per sq. km of land area),EN.POP.DNST,82.20652476
Mozambique,MOZ,Population density (people per sq. km of land area),EN.POP.DNST,39.64780259
Burma,MMR,Population density (people per sq. km of land area),EN.POP.DNST,81.85330718
Namibia,NAM,Population density (people per sq. km of land area),EN.POP.DNST,3.023355075
Nauru,NRU,Population density (people per sq. km of land area),EN.POP.DNST,615.75
Nepal,NPL,Population density (people per sq. km of land area),EN.POP.DNST,204.7340565
Netherlands,NLD,Population density (people per sq. km of land area),EN.POP.DNST,518.013068
New Caledonia,NCL,Population density (people per sq. km of land area),EN.POP.DNST,14.83205689
New Zealand,NZL,Population density (people per sq. km of land area),EN.POP.DNST,19.33158634
Nicaragua,NIC,Population density (people per sq. km of land area),EN.POP.DNST,56.14006149
Niger,NER,Population density (people per sq. km of land area),EN.POP.DNST,19.2102621
Nigeria,NGA,Population density (people per sq. km of land area),EN.POP.DNST,228.737667
North Macedonia,MKD,Population density (people per sq. km of land area),EN.POP.DNST,82.17807296
Northern Mariana Islands,MNP,Population density (people per sq. km of land area),EN.POP.DNST,107.7978261
Norway,NOR,Population density (people per sq. km of land area),EN.POP.DNST,14.76721523
Oman,OMN,Population density (people per sq. km of land area),EN.POP.DNST,14.67980291
Pakistan,PAK,Population density (people per sq. km of land area),EN.POP.DNST,294.7238753
Palau,PLW,Population density (people per sq. km of land area),EN.POP.DNST,39.06956522
Panama,PAN,Population density (people per sq. km of land area),EN.POP.DNST,57.89156107
Papua New Guinea,PNG,Population density (people per sq. km of land area),EN.POP.DNST,21.52903767
Paraguay,PRY,Population density (people per sq. km of land area),EN.POP.DNST,16.65918701
Peru,PER,Population density (people per sq. km of land area),EN.POP.DNST,26.01934063
Philippines,PHL,Population density (people per sq. km of land area),EN.POP.DNST,376.2651407
Poland,POL,Population density (people per sq. km of land area),EN.POP.DNST,123.8005749
