Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38972230
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Algeria,DZA,"Population, total",SP.POP.TOTL,43451666
American Samoa,ASM,"Population, total",SP.POP.TOTL,46189
Andorra,AND,"Population, total",SP.POP.TOTL,77700
Angola,AGO,"Population, total",SP.POP.TOTL,33428486
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92664
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Armenia,ARM,"Population, total",SP.POP.TOTL,2805608
Aruba,ABW,"Population, total",SP.POP.TOTL,106585
Australia,AUS,"Population, total",SP.POP.TOTL,25655289
Austria,AUT,"Population, total",SP.POP.TOTL,8916864
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
Bahamas,BHS,"Population, total",SP.POP.TOTL,406471
Bahrain,BHR,"Population, total",SP.POP.TOTL,1477469
Bangladesh,BGD,"Population, total",SP.POP.TOTL,167420951
Barbados,BRB,"Population, total",SP.POP.TOTL,280693
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604
Belize,BLZ,"Population, total",SP.POP.TOTL,394921
Benin,BEN,"Population, total",SP.POP.TOTL,12643123
Bermuda,BMU,"Population, total",SP.POP.TOTL,63893
Bhutan,BTN,"Population, total",SP.POP.TOTL,772506
Bolivia,BOL,"Population, total",SP.POP.TOTL,11936162
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3318407
Botswana,BWA,"Population, total",SP.POP.TOTL,2546402
Brazil,BRA,"Population, total",SP.POP.TOTL,213196304
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30910
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,441725
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21522626
Burundi,BDI,"Population, total",SP.POP.TOTL,12220227
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,582640
Cambodia,KHM,"Population, total",SP.POP.TOTL,16396860
Cameroon,CMR,"Population, total",SP.POP.TOTL,26491087
Canada,CAN,"Population, total",SP.POP.TOTL,38037204
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,67311
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5343020
Chad,TCD,"Population, total",SP.POP.TOTL,16644701
Channel Islands,CHI,"Population, total",SP.POP.TOTL,171113
Chile,CHL,"Population, total",SP.POP.TOTL,19300315
China,CHN,"Population, total",SP.POP.TOTL,1411100000
Colombia,COL,"Population, total",SP.POP.TOTL,50930662
Comoros,COM,"Population, total",SP.POP.TOTL,806166
Congo (Kinshasa),COD,"Population, total",SP.POP.TOTL,92853164
Congo (Brazzaville),COG,"Population, total",SP.POP.TOTL,5702174
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5123105
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26811790
Croatia,HRV,"Population, total",SP.POP.TOTL,4047680
Cuba,CUB,"Population, total",SP.POP.TOTL,11300698
Curacao,CUW,"Population, total",SP.POP.TOTL,154947
Cyprus,CYP,"Population, total",SP.POP.TOTL,1237537
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404
Djibouti,DJI,"Population, total",SP.POP.TOTL,1090156
Dominica,DMA,"Population, total",SP.POP.TOTL,71995
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10999664
Ecuador,ECU,"Population, total",SP.POP.TOTL,17588595
Egypt,EGY,"Population, total",SP.POP.TOTL,107465134
El Salvador,SLV,"Population, total",SP.POP.TOTL,6292731
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1596049
Eritrea,ERI,"Population, total",SP.POP.TOTL,3555868
Estonia,EST,"Population, total",SP.POP.TOTL,1329522
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1180655
Ethiopia,ETH,"Population, total",SP.POP.TOTL,117190911
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,52415
Fiji,FJI,"Population, total",SP.POP.TOTL,920422
Finland,FIN,"Population, total",SP.POP.TOTL,5529543
France,FRA,"Population, total",SP.POP.TOTL,67571107
French Polynesia,PYF,"Population, total",SP.POP.TOTL,301920
Gabon,GAB,"Population, total",SP.POP.TOTL,2292573
Gambia,GMB,"Population, total",SP.POP.TOTL,2573995
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716
Germany,DEU,"Population, total",SP.POP.TOTL,83160871
Ghana,GHA,"Population, total",SP.POP.TOTL,32180401
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32709
Greece,GRC,"Population, total",SP.POP.TOTL,10698599
Greenland,GRL,"Population, total",SP.POP.TOTL,56367
Grenada,GRD,"Population, total",SP.POP.TOTL,123663
Guam,GUM,"Population, total",SP.POP.TOTL,169231
Guatemala,GTM,"Population, total",SP.POP.TOTL,16858333
Guinea,GIN,"Population, total",SP.POP.TOTL,13205153
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2015828
Guyana,GUY,"Population, total",SP.POP.TOTL,797202
Haiti,HTI,"Population, total",SP.POP.TOTL,11306801
Honduras,HND,"Population, total",SP.POP.TOTL,10121763
Hong Kong,HKG,"Population, total",SP.POP.TOTL,7481000
Hungary,HUN,"Population, total",SP.POP.TOTL,9750149
Iceland,ISL,"Population, total",SP.POP.TOTL,366463
India,IND,"Population, total",SP.POP.TOTL,1396387127
Indonesia,IDN,"Population, total",SP.POP.TOTL,271857970
Iran,IRN,"Population, total",SP.POP.TOTL,87290193
Iraq,IRQ,"Population, total",SP.POP.TOTL,42556984
Ireland,IRL,"Population, total",SP.POP.TOTL,4985382
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84046
Israel,ISR,"Population, total",SP.POP.TOTL,9215100
Italy,ITA,"Population, total",SP.POP.TOTL,59438851
Jamaica,JAM,"Population, total",SP.POP.TOTL,2820436
Japan,JPN,"Population, total",SP.POP.TOTL,126261000
Jordan,JOR,"Population, total",SP.POP.TOTL,10928721
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18755666
Kenya,KEN,"Population, total",SP.POP.TOTL,51985780
Kiribati,KIR,"Population, total",SP.POP.TOTL,126463
"Korea, North",PRK,"Population, total",SP.POP.TOTL,25867467
"Korea, South",KOR,"Population, total",SP.POP.TOTL,51836239
Kosovo,XKX,"Population, total",SP.POP.TOTL,1790133
Kuwait,KWT,"Population, total",SP.POP.TOTL,4360444
Kyrgyzstan,KGZ,"Population, total",SP.POP.TOTL,6579900
